,20,30,40,50,60,70,80,90,100
SurfFit_p1,0.01604890900125836,0.023249240994766086,0.0,0.02576135161961368,0.015458739194249239,0.01970978149961857,0.019851771181970138,0.017736830644307606,-0.019292185780952563
SurfFit_p2,0.04211755144903526,0.037814608156552854,0.014452865845880864,0.0179554851531523,0.018572221601654466,0.018911001425008126,0.017122729243262615,0.015716458964600406,0.01194823665783102
SurfFit_p3,0.04754363096649766,0.029982292371941256,-0.0,0.0024292513626050093,-0.0022370549162675593,-0.009368362772479438,-0.0046709190568598735,-0.0007751013787544529,0.0
Q_cycle2,-0.004756805181543754,-0.0,0.0,0.01584860603817636,0.011997504575533693,0.011116644798367666,0.014015665449724608,0.01650874843622981,0.011667878533608204
Q_lastcycle,0.03904252685120434,0.04290133972158574,0.0,0.019118695856211135,0.017226867631654125,0.01590226751900417,0.015972471086322954,0.01763929054337907,0.022639709261879498
chargetime,0.07893177501226742,0.07417350020344954,0.038109940102602824,0.028186043978371853,0.019375431367698554,0.021599114058819528,0.022261136443656647,0.027336434891595818,0.023626288523083162
Tmax,-0.021465011702552782,-0.024505922872484417,-0.0,-0.01814997611598579,-0.011990317797490806,-0.009243845198156025,-0.00948592398634415,-0.010765113304525592,-0.010721867630310182
log_slope_2pt9V_corr,-0.0004376481935743029,0.010159386566013773,-0.0,-0.01907958685787059,-0.021661365056787923,-0.019706801711308952,-0.021864023096200107,-0.02627885373919069,-0.030090471108646422
log_int_2pt9V_corr,0.0039430532246024965,0.0007522761034436047,-0.0,-0.015793875228009464,-0.019808846516325366,-0.020480353389570865,-0.022202216031564918,-0.030734789042522182,-0.032713219678240014
log_DeltaQ_mean,-0.006829111957076774,-0.027611523814876925,-0.0,-0.020797774688384608,-0.021222261443258117,-0.014166019762500284,-0.01925982294070615,-0.01706083057701464,-0.025035326846901195
log_DeltaQ_var,-0.021074734577891004,-0.012185304730794674,-0.046238361557776546,-0.03028703395355117,-0.023668219141749925,-0.01846037757630455,-0.023948274467119723,-0.019462341616617595,-0.032836847265252
log_IR_min,-0.047086459597213255,-0.046883646720546984,-0.0,-0.03119034674253582,-0.019011775084214054,-0.01600650497798765,-0.022945327249276018,-0.029929105317163765,-0.023871796437657376
log_IR_diff,-0.018828548443175178,-0.01423131764877955,-0.005856854188608871,-0.012027583185097862,-0.012425724602588124,-0.014866798455679193,-0.012509173958366197,-0.01033067083628951,-0.0065562843280730105
